zpid,state_code,state_name,address,street,city,zipcode,price,price_formatted,beds,baths,area_sqft,latitude,longitude,status,home_type,days_on_zillow,zestimate,detail_url,has_open_house,open_house_date,is_featured,state
13785146,CO,Colorado,"1825 S Saulsbury Court, Lakewood, CO 80232",1825 S Saulsbury Court,Lakewood,80232,625000,"$625,000",4,3,2247,39.68457,-105.076416,House for sale,SINGLE_FAMILY,1,618600,https://www.zillow.com/homedetails/1825-S-Saulsbury-Ct-Lakewood-CO-80232/13785146_zpid/,FALSE,NA,FALSE,CO
96117022,CO,Colorado,"7982 Rising Sun Ct, Windsor, CO 80550",7982 Rising Sun Ct,Windsor,80550,1179000,"$1,179,000",5,4,5160,40.452385,-104.95788,House for sale,SINGLE_FAMILY,3,NA,https://www.zillow.com/homedetails/7982-Rising-Sun-Ct-Windsor-CO-80550/96117022_zpid/,TRUE,2026-02-08T11:00:00Z,FALSE,CO
13247677,CO,Colorado,"4818 6th St, Boulder, CO 80304",4818 6th St,Boulder,80304,2150000,"$2,150,000",4,5,5456,40.062183,-105.28757,House for sale,SINGLE_FAMILY,2,2027600,https://www.zillow.com/homedetails/4818-6th-St-Boulder-CO-80304/13247677_zpid/,TRUE,2026-02-08T11:00:00Z,FALSE,CO
13779343,CO,Colorado,"12414 W Florida Drive, Lakewood, CO 80228",12414 W Florida Drive,Lakewood,80228,679900,"$679,900",5,3,2772,39.688232,-105.13876,House for sale,SINGLE_FAMILY,2,668300,https://www.zillow.com/homedetails/12414-W-Florida-Dr-Lakewood-CO-80228/13779343_zpid/,FALSE,NA,FALSE,CO
80397370,CO,Colorado,"7830 Tannenbaum Rd, Colorado Springs, CO 80908",7830 Tannenbaum Rd,Colorado Springs,80908,1125000,"$1,125,000",5,4,4626,39.051334,-104.681046,House for sale,SINGLE_FAMILY,2,NA,https://www.zillow.com/homedetails/7830-Tannenbaum-Rd-Colorado-Springs-CO-80908/80397370_zpid/,FALSE,NA,FALSE,CO
13591650,CO,Colorado,"70 Cascade Ct, Colorado Springs, CO 80907",70 Cascade Ct,Colorado Springs,80907,550000,"$550,000",4,2,1998,38.881104,-104.82447,House for sale,SINGLE_FAMILY,3,NA,https://www.zillow.com/homedetails/70-Cascade-Ct-Colorado-Springs-CO-80907/13591650_zpid/,FALSE,NA,FALSE,CO
13159639,CO,Colorado,"6034 S Steele St, Centennial, CO 80121",6034 S Steele St,Centennial,80121,710000,"$710,000",4,3,2273,39.607136,-104.95034,Coming soon,SINGLE_FAMILY,1,671900,https://www.zillow.com/homedetails/6034-S-Steele-St-Centennial-CO-80121/13159639_zpid/,FALSE,NA,FALSE,CO
49456865,CO,Colorado,"12791 Clermont Street, Thornton, CO 80241",12791 Clermont Street,Thornton,80241,564000,"$564,000",4,4,2395,39.927753,-104.9355,House for sale,SINGLE_FAMILY,3,NA,https://www.zillow.com/homedetails/12791-Clermont-St-Thornton-CO-80241/49456865_zpid/,FALSE,NA,FALSE,CO
13487767,CO,Colorado,"7084 Fox Paw Trail, Littleton, CO 80125",7084 Fox Paw Trail,Littleton,80125,899000,"$899,000",4,3,3134,39.464718,-105.08148,House for sale,SINGLE_FAMILY,2,NA,https://www.zillow.com/homedetails/7084-Fox-Paw-Trl-Littleton-CO-80125/13487767_zpid/,FALSE,NA,FALSE,CO
13819311,CO,Colorado,"6433 S Miller Street, Littleton, CO 80127",6433 S Miller Street,Littleton,80127,519999,"$519,999",3,3,2067,39.600407,-105.114586,House for sale,SINGLE_FAMILY,3,526300,https://www.zillow.com/homedetails/6433-S-Miller-St-Littleton-CO-80127/13819311_zpid/,FALSE,NA,FALSE,CO
